"gene_name" "rank"
"DDX3Y" "DDX3Y" 3.73245411820173
"IQCE" "IQCE" 3.73127525335645
"ZMPSTE24" "ZMPSTE24" -3.72920085399841
"FBXO11" "FBXO11" -3.72885967032901
"RABL2B" "RABL2B" 3.72713412791854
"KLF15" "KLF15" 3.71471068754165
"MMADHC" "MMADHC" -3.71313517435445
"POLR2J3" "POLR2J3" 3.71153218843653
"PLAA" "PLAA" -3.69865219706285
"PTCHD3P1" "PTCHD3P1" 3.68286293067383
"CEP192" "CEP192" -3.67960908061413
"HSPB11" "HSPB11" -3.67747628753527
"UCHL5" "UCHL5" -3.67071157168044
"EIF3M" "EIF3M" -3.66850780985167
"SPPL2A" "SPPL2A" -3.6614678135583
"NUP155" "NUP155" -3.65872641728582
"POLR2C" "POLR2C" 3.65699765787885
"ADGRL1-AS1" "ADGRL1-AS1" 3.65656753721908
"STAT1" "STAT1" -3.65546621015035
"BTF3L4" "BTF3L4" -3.65364549849532
"CDPF1" "CDPF1" 3.65203877791101
"H2BC12" "H2BC12" 3.64802685637481
"LAMP3" "LAMP3" -3.64714357173049
"ZNF845" "ZNF845" -3.64316545636767
"HAT1" "HAT1" -3.64302936310104
"IFI16" "IFI16" -3.63466731717009
"PIK3C3" "PIK3C3" -3.63160982946068
"PITPNA" "PITPNA" 3.63106069768217
"AKT1" "AKT1" 3.62925544557616
"RAB27A" "RAB27A" -3.62907819652929
"NOL11" "NOL11" -3.6224864662118
"TPRKB" "TPRKB" -3.61874419212315
"APBA1" "APBA1" 3.61869956075551
"DDX59" "DDX59" -3.6153329166639
"PUS3" "PUS3" -3.61386994329136
"SF3A3" "SF3A3" -3.61260142365595
"DHX57" "DHX57" -3.61193796139632
"TENT2" "TENT2" -3.60594398241132
"PSMF1" "PSMF1" 3.60292710514791
"PPP1R26" "PPP1R26" 3.59908226093907
"TCF3" "TCF3" 3.59714920922844
"PTPN2" "PTPN2" -3.59629152004068
"SELENOF" "SELENOF" -3.59523534207378
"PITPNM1" "PITPNM1" 3.59061632255351
"NUDCD3" "NUDCD3" 3.59001775617599
"CCDC18-AS1" "CCDC18-AS1" 3.58779063531275
"HCN3" "HCN3" 3.58395070186889
"LEO1" "LEO1" -3.57904420783634
"PTEN" "PTEN" -3.57673819462107
"BECN1" "BECN1" -3.56736462565211
"AFTPH" "AFTPH" -3.55997479972427
"AC116366.3" "AC116366.3" -3.55362498052537
"TADA2B" "TADA2B" 3.55121405818369
"HPS1" "HPS1" 3.54776295220463
"AC004951.1" "AC004951.1" 3.54128026604707
"NOL8" "NOL8" -3.53341899866144
"INKA2" "INKA2" 3.52800825309636
"FAM131A" "FAM131A" 3.5215244284421
"PSMA3" "PSMA3" -3.52149379313266
"FHIP2A" "FHIP2A" -3.51125391586215
"ZNF8-DT" "ZNF8-DT" 3.50552922440148
"ARHGEF5" "ARHGEF5" 3.50462610910839
"MIF-AS1" "MIF-AS1" 3.50242826552514
"MOB4" "MOB4" -3.50195620701193
"RSL1D1" "RSL1D1" -3.49933036881426
"FANCL" "FANCL" -3.49466398680755
"ZNF277" "ZNF277" -3.49415255377531
"USPL1" "USPL1" -3.49412938471601
"KIAA1586" "KIAA1586" -3.48250003731353
"RPL17-C18orf32" "RPL17-C18orf32" 3.47661585132793
"COPS4" "COPS4" -3.47657525770728
"IBTK" "IBTK" -3.47455243539
"MRPS31" "MRPS31" -3.47429952634201
"TLR1" "TLR1" -3.47282369692343
"TRAF7" "TRAF7" 3.47024348126733
"CD5L" "CD5L" 3.46561717061347
"TCOF1" "TCOF1" 3.46535582194811
"DEAF1" "DEAF1" 3.46434941516013
"AC006547.2" "AC006547.2" -3.46277742852241
"CEBPZ" "CEBPZ" -3.4626851451504
"MRPS9" "MRPS9" -3.46223601725449
"FASTKD2" "FASTKD2" -3.46187233511018
"KTN1" "KTN1" -3.46143459938606
"LACTB" "LACTB" -3.46120264982141
"GNL3L" "GNL3L" 3.4604463464223
"C3orf38" "C3orf38" -3.45869996615008
"DHRS13" "DHRS13" 3.4579990198269
"KPNA3" "KPNA3" -3.45679769772445
"CSE1L" "CSE1L" -3.4545793563114
"UBFD1" "UBFD1" 3.45244296323175
"SLC44A1" "SLC44A1" -3.44967051784235
"ZDHHC8" "ZDHHC8" 3.44875746518687
"UTP11" "UTP11" -3.44655510457667
"APBA3" "APBA3" 3.44444975087234
